title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Red Painting,1954,oil on canvas,2002.32.6,"Gift of Charles H. Carpenter, Jr. and The Henry L. Hillman Fund",10/3/02,Contemporary Art,"Gallery 12, Scaife Galleries",33,41,1.75,0,"Gift of Charles H. Carpenter, Jr., and the Henry L. Hillman Fund",paintings,Person,"Reinhardt, Ad",,American,1/1/13,1/1/67,"Buffalo (Erie county, New York state, United States)","New York City (New York state, United States)"
Australia II,1970,steel,2002.32.8,"Gift of Charles H. Carpenter, Jr. and The Henry L. Hillman Fund",10/3/02,Contemporary Art,Museum Grounds,48,65,36,0,"Collection of Charles H. Carpenter, Jr., before 2002; Partial gift of Charles H. Carpenter and museum purchase, 2002. 

TBF 10/31/14",sculpture,Person,"Stankiewicz, Richard P.",,American,1/1/22,1/1/83,"Philadelphia, PA","Worthington, MA"
Fuschia/Violet,1994,"glass, blown, with incalmo",2002.51.2,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,Museum of Art Lobby,0,17.625,0,11.625,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"Blomdahl, Sonja",,American,1/1/52,,,
Tall Slender Dichroic Neodymium Mongo with Arching Serpents & Cypress Base,1996,glass,2002.51.9,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,"Gallery 21, Bruce Galleries",11,22.25,11,0,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"Dreisbach, Fritz",,American,1/1/41,,"Cleveland, Ohio",
Erise II,1995,glass,2002.51.11,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,Museum of Art Lobby,15,16.938,2.562,0,"Mr. and Mrs. William Block, Pittsburgh",sculpture,Person,"Hlava, Pavel",,Czech,1/1/24,1/1/03,,
Naos,1997,"glass: cast, cut and ground",2002.51.12,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,Museum of Art Lobby,13.75,19.625,2.875,0,"Mr. and Mrs. William Block, Pittsburgh",sculpture,Person,"Hora, Petr",,Czech,1/1/49,,"Brno, Czech Republic",
Zanfirico Pear,1994,glass,2002.51.17,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,19.25,0,12.25,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person|Person,"Mace, Flora|Kirkpatrick, Joey",|,American,1949-01-01|1952-01-01,|,|,|
Chartreuse and Black Pair,1992,glass,2002.51.18.1.A-B,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,"Gallery 21, Bruce Galleries",21,12,15.5,0,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"Marioni, Dante",,American,1/1/64,,,
Persuasion Series: Ravishing,1996,glass with gold leaf,2002.51.21,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,26,0,13,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"Mulcahy, Kathleen",,American,1/1/50,,"Newark, NJ",
Mountain Skyscape,1994,"glass, cast with preformed insert, cut, carved, sandblasted: with acid and polished finishes",2002.51.23,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,Museum of Art Lobby,17.875,8.125,2.562,0,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"Peiser, Mark",,American,1/1/38,,"Chicago, Illinois",
Untitled (Amber),2001,"glass, blown and sanded",2002.51.28,Gift of Mr. and Mrs. William Block,10/3/02,Decorative Arts and Design,Museum of Art Lobby,14,13.25,1.5,0,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"de Santillana, Laura",,Italian,1/1/55,,,
Charger,1796-1820,brass and cloisonné (fused glass),37.3.242,In memory of Mary Junkin Cowley,,Decorative Arts and Design,"Gallery 20, Bruce Galleries",15.5,2.25,15.375,0,"Collection of Mary Junkin Cowley, before 1937; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, 1937.",Metals,Person,unknown Chinese,,Chinese,,,,
Jug,1878,"silver, bamboo and lacquer brush pot",2002.6,DuPuy Fund,12/5/02,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,0,0,0,"John Jesse, London",Metals,Person|Person,"Dee, Henry W.|Kouzan, Numata",silversmiths|lacquerer,British|Japanese,1823-01-01|1850-01-01,1896-01-01|1885-01-01,|,|
"Dr. Washington Epps, My Doctor",1885,oil on canvas,2002.63.1,Heinz Family Fund,12/5/02,Fine Arts,"Gallery 6, Scaife Galleries",20,25,3.5,0,"Lawrence Alma-Tadema [1836-1912]; gift to Dr. Washington Epps [1848-1912], London, 1885 until 1912 [1]; Mrs. Washington Epps, his widow, Hampstead, 1912 until 1913; George Selby Washington Epps, her son [1885-1951], Spaxton, Somerset, 1913 until 1951; Mrs Leonora Doris Epps, his widow [1883-1961], Spaxton, Somerset, until 1961 [2]; by descent to relatives of Leonora Doris Epps, 1961 until 2001; (Lowell Libson, Ltd., London, 2001 until 2002); purchased by Museum, December 2002. 
NOTES:1. Washington Epps was Alma-Tadema's brother-in-law. 2. Her maiden name was Leonora Doris Peacock. She married George Selby Washington Epps in 1915.",paintings,Person,"Alma-Tadema, Lawrence",,Dutch,1836-01-01,1/1/12,"Dronrijp (Friesland, Netherlands)","Wiesbaden (Darmstadt district, Hessen state, Germany)"
Study for Steamboat on the Ohio,  1896,oil on cardboard,2002.64,Robert S. Waters Charitable Trust Fund,12/5/02,Fine Arts,"Gallery 6, Scaife Galleries",15,8,0,0,"Vance Jordan Fine Arts, New York",paintings,Person,"Anshutz, Thomas Pollock",,American,1851-01-01,1/1/12,"Newport (Campbell county, Kentucky, United States)",Pennsylvania
Elephant,1924,oil on canvas,2002.63.2,Paintings Acquisition Fund,12/5/02,Fine Arts,"Gallery 9, Scaife Galleries",16.375,14,2.25,0,"H. P. Bremmer, The Hague; J. Hudig, Rotterdam; Private Collection; (sale, Sotheby's, Amsterdam, 26 November 2002, lot 112); purchased by Museum, November 2002.",paintings,Person,"Leck, Bart Antony van der",,Dutch,1876-01-01,1/1/58,"Utrecht, Netherlands","Blaricum, Netherlands"
Kevin,1976,oil on canvas,2011.57,Gift of Darthea Speyer,1/17/94,Contemporary Art,"Gallery 15, Scaife Galleries",50,74,1.625,0,"Collection of Darthea Speyer, Paris, France, before 1994; Long term loan to Carnegie Museum of Art since 1994; Gift of Darthea Speyer, 2001.

TBF 10/31/14",paintings,Person,"Paschke, Ed",,American,1/1/39,1/1/04,"Chicago, IL","Chicago, IL"
"Lieutenant-General Sir Herbert Taylor, G.C.B. (1775-1839)",  1806,oil on canvas,2008.45,Gift of Margaret Evans Berdan,6/5/08,Fine Arts,"Gallery 19, Bruce Galleries",25,30,0,0,"Sir Thomas Lawrence [1769-1830], London, England. Property of a gentleman, possibly Major E. R. M. Alston, May 1927 [1]; sale, Christie, Manson & Woods, London, May 20, 1927, no. 46 [2]; purchased by M. Knoedler & Co., London England and New York, NY [3]; sold to Henry Reinhardt & Son, New York, NY, on August 15, 1927 until at least October 1927 [4]. Marshall Sheppey, Toledo, OH; by descent to Margaret Evans Berdan [1904-1983], Pittsburgh, PA, probably 1958 until March 7, 1983 [5]; life estate bequest to her daughter, Margaret Berdan Arnold [1928- 2008], Greenwich, CT and Hyannis Port, MA, March 7, 1983 until January 28, 2008 [6]; remainder bequest to Carnegie Museum of Art, Pittsburgh, PA, March 2008 [7]; accessioned by Carnegie Museum of Art, Pittsburgh, PA, June 2008.

Notes:
[1]. See ""Sir Thomas Lawrence"" by Kenneth Garlick, New York University Press, 1989, no.757, p. 271, illustrated.
[2]. Listed at the sale as ""Property of a Gentleman.""
[3]. Purchased for £546; London stock no. 8073 and New York stock no. 16851 (see Knoedler Archive, The Getty Research Institute.)
[4]. Knoedler's London sales book records the date of sale to Reinhardt as July 19, 1927 with a price of £1100. It was billed by Knoedler New York on August 15, 1927. The painting was exhibited at the Minneapolis Institute of Arts as part of the Reinhardt loan collection, October 1927.
[5]. Mrs. Berdan was the wife of John Berdan [1903-1958], stepson of Marshall Sheppey. 
[6]. The painting was on long-term loan to Museum, August 1983-March 2008.
[7]. As per will of Mrs. Arnold's mother, Mrs. Margaret Evans Berdan (copy in curatorial file.)",paintings,Person,"Lawrence, Thomas",,British,1769-01-01,1830-01-01,"Bristol (Bristol, England, United Kingdom)"," London (Greater London, England, United Kingdom)"
"Hero, Ursula, and Beatrice in Leonato's Garden (act 3, scene 1 from Much Ado About Nothing)",1788-1789,oil on canvas,2002.77,"Gift of Alex C. Speyer, Jr., Darthea Speyer, and Nora Fromboluti",2/6/03,Fine Arts,"Gallery 2, Scaife Galleries",73.5,102,0,0,"Commissioned by Alderman John Boydell, London, England, c. 1788; sold at the Shakespeare Gallery sale, May 20, 1805, lot no. 44, to George Stainforth (for £57 15s) for Sir Francis Baring, 1st Baronet [1740-1810] [1], [2]; by descent to Sir Thomas Baring, 2nd Baronet [1772-1848] [3]; by descent through the Baring family to Francis Baring, 2nd Earl of Northbrook [1850-1929], Stratton Park, Hampshire, England and London, England, until 1929; sold at Stratton Park Furnishings sale, lot no. 495, November 1929 [4]. Arthur L. Nicholson, Llandaff House, Weybridge-on-Thames, Surrey, England, by May 1933 [5]; Nicholson sale, American Art Association, Anderson Galleries, Inc., New York, NY, May 18, 1933, no. 33 [6]; sold to Mrs. Alexander C. Speyer [1889-1979], Pittsburgh, PA [7]; by descent to her children Alexander C. Speyer, Jr., Darthea Speyer, and Nora Fromboluti; gift to Carnegie Museum of Art, Pittsburgh, PA, December 2002 [8].

Notes:
[1]. See copy of sale information from the Getty Provenance Index in curatorial file.
[2]. See ""Matthew William Peters, R.A., His Life and Work"" by Lady Victoria Manners, London, 1913. 
[3]. He lent the painting to the 1817 exhibition at the British Institution in London.
[4]. The painting, lot no. 495, was illustrated in the Stratton Park sale catalogue; the sale was held on location on November 27-29, 1929. The painting sold for 540 guineas (£567, the highest price obtained at the sale.) See curatorial file for annotated copy of the auction catalogue and press clippings reporting on the sale.
[5]. The back of the stretcher contains a sticker from an unknown sale, lot 28.  This might be the sale from which Nicholson acquired the painting or a previous attempt by him to sell it before the May 1933 sale in New York.
[6]. Sale 4045, which included ""Valuable Paintings, The Property of Arthur Nicolson, Esq.""
[7]. According to annotated sale catalogue at the Frick Library, the painting sold to Mrs. A. C. Speyer for $400.
[8]. The painting was on loan deposit at Carnegie Museum of Art, Pittsburgh, PA, from c. 1965. It was accessioned in February 2003.",paintings,Person,"Peters, Reverend Matthew William",,British,1742-01-01,1814-03-20,"Freshwater, Isle of Wight","Brasted Place, Kent, England"
Jidaga (Water jug),1900-1999,earthenware,2002.76,Gift of Mr. and Mrs. Milton Washington,2/6/03,Decorative Arts and Design,African Art Gallery,20.25,27,20.25,0,"Milton and Nancy Washington, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2003.",Ceramics,Person,"unknown Bamana, Mali",,Bamana,,,,
The Garden of Adonis - Amoretta and Time,1887,oil on canvas,2003.5,Heinz Family Fund,2/6/03,Fine Arts,"Gallery 7, Scaife Galleries",50,41,2.25,0,"by descent to the artist's grandson; (Christie's, London, 5 June 1984, lot 164); Private Collection; sale, Sotheby's, London, 2 November 1994, ""Victorian Pictures,"" lot 232); Leicester Galleries, London; John and Julie Schaeffer, New Zealand, through Michael Tollemache Fine Art; purchased by Museum, January 2003.",paintings,Person,"Batten, John D.",,British,,,"Plymouth (City of Plymouth, England, United Kingdom)",
The Lucky Ones,2002,oil on canvas,2003.12.1,"Purchase, with funds from The Buddy Taub Foundation, Dennis A. Roach and Jill Roach, Directors",4/3/03,Contemporary Art,"Gallery 16, Scaife Galleries",39.375,33.75,1.375,0,"David Zwirner, New York",paintings,Person,"Borremans, Michaël",,Belgian,1/1/63,,"Geraardsbergen, Belgium",
Silex vase,  1905,glass and brass,2003.14.A-.B,Ailsa Mellon Bruce Fund,4/3/03,Decorative Arts and Design,"Gallery 21, Bruce Galleries",6,16,5.625,0,"Historical Design, New York",Glass,Person|Organization,"Serrurier-Bovy, Gustave|Val Saint Lambert",designer|manufacturer,Belgian,1858-01-01|1825-01-01,1910-01-01|,"Liège, Belgium|","Liège, Belgium|"
Platter,1960,glazed stoneware,95.115,"Purchase: gift of Mrs. L. Gerald Firth and L. Gerald Firth, Jr., in memory of his parents, by exchange",12/7/95,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,0,5.75,22.5,"Garth Clark Gallery, New York, NY",Ceramics,Person,"Voulkos, Peter",,American,1/1/24,1/1/02,"Bozeman, Montana","Bowling Green, Ohio"
Platter,  1988,earthenware,2003.36,Purchase: gift of Richard and Rhoda Shear Neft,10/2/03,Decorative Arts and Design,"Gallery 21, Bruce Galleries",21.75,26.25,2.75,0,Concept Art Gallery,Ceramics,Person,"Kaneko, Jun",,American,1/1/42,,Japan,
Lickety,2002,glazed porcelain and earthenware,2003.23.1,A. W. Mellon Acquisition Endowment Fund and Martha Mack Lewis Fund,6/5/03,Decorative Arts and Design,Hall of Sculpture Balcony,3.625,6.375,3.875,0,"Sold at Shosana Wayne Gallery, Santa Monica, CA; purchased by Carnegie Museum of Art, PIttsburgh, PA, June 2003.",Ceramics,Person,"Butterly, Kathy",,American,1/1/63,,"Amityville, New York",
Trip,2002,glazed porcelain and earthenware,2003.23.2,A. W. Mellon Acquisition Endowment Fund and Martha Mack Lewis Fund,6/5/03,Decorative Arts and Design,"Gallery 21, Bruce Galleries",4,7.375,3.75,0,"Sold at Shosana Wayne Gallery, Santa Monica, CA; purchased by Carnegie Museum of Art, PIttsburgh, PA, June 2003.",Ceramics,Person,"Butterly, Kathy",,American,1/1/63,,"Amityville, New York",
Palla Set,1994,blown glass,2003.42.13.A-.B,Gift of Mr. and Mrs. William Block,10/2/03,Decorative Arts and Design,Museum of Art Lobby,0,4.25,0,18.75,"Mr. and Mrs. William Block, Pittsburgh",Glass,Person,"Moore, Benjamin",,American,1/1/52,,,
Virgin and Child,1299-1498,alabaster,60.53.1,James H. Beal Fund,10/19/60,Decorative Arts and Design,"Gallery 1, Scaife Galleries",4.75,16,0,0,"Formerly in the Sinzheimer Collection of New York 
French and Company, New York City, NY",sculpture,Person,unknown English,,English,,,,
Flower pot,1754,porcelain with enamel and gilded decoration,88.6.1,"Ailsa Mellon Bruce Fund, John Berdan Memorial Fund, and gift of Thomas E. Rassieur",2/4/88,Decorative Arts and Design,"Gallery 19, Bruce Galleries",4.5,5.625,4.625,0,"Alexander and Berendt, Ltd., London, England, UK",Ceramics,Person|Organization,"Armand l'aîné, Louis-Denis|Vincennes Porcelain Manufactory",painter|manufacturer,French,1720-01-01|1730-01-01,1800-01-01|1756-01-01,|,|
Flower pot,1754,porcelain with enamel and gilded decoration,88.6.2,"Ailsa Mellon Bruce Fund, John Berdan Memorial Fund, and gift of Thomas E. Rassieur",2/4/88,Decorative Arts and Design,"Gallery 19, Bruce Galleries",4.375,5.5,4.25,0,"Alexander and Berendt, Ltd., London, England, UK",Ceramics,Person|Organization,"Armand l'aîné, Louis-Denis|Vincennes Porcelain Manufactory",painter|manufacturer,French,1720-01-01|1730-01-01,1800-01-01|1756-01-01,|,|
Teapot from the Déjeuner Régnier à Reliefs,  1813,porcelain with gilded decoration,2003.33.A-B,Ailsa Mellon Bruce Fund,10/2/03,Decorative Arts and Design,"Gallery 19, Bruce Galleries",6.75,8,3.75,0,"Michele Beiny Inc, New York",Ceramics,Person|Organization,"Régnier, Jean-Marie-Ferdinand|Sèvres Porcelain Factory",designer|manufacturer,French,1774-01-01|1756-01-01,1857-01-01|,|,|
Rolling Armchair,1968,chromium-plated tubular steel and Lucite,2003.48,Decorative Arts Purchase Fund,12/4/03,Decorative Arts and Design,"Gallery 18, Bruce Galleries",28.25,29.75,23.5,0,"Wright Auction House, Chicago, IL",furniture,Person,"Rudolph, Paul",,American,1/1/18,1/1/97,Kentucky,"New York City, New York"
Musical Chairs,1990,chromogenic print,2003.3,Purchase: gift of her family in honor of Aaronel de Roy Gruber,10/2/03,Photography,Forum Gallery,62.75,49.875,2.5,0,"Janet Borden, Inc., New York",photographs,Person,"Barney, Tina",,American,1/1/45,,"New York City (New York state, United States)",
Gazelle Lounge Chair,1956-1960,anodized aluminum with original cane,2003.35,Women's Committee Acquisition Fund,10/2/03,Decorative Arts and Design,"Gallery 18, Bruce Galleries",23,27,25,0,"Lawrence Converso, Chicago, IL",furniture,Person,"Johnson, Dan",designer,American,1/1/18,,,
Italic Styling credenza,1958,anodized aluminum and birch,2004.5.2,Women's Committee Acquisition Fund,2/6/04,Decorative Arts and Design,"Gallery 21, Bruce Galleries",80,30,20,0,"Wright Auction House, Chicago, IL.",Metals,Organization,General Fireproofing Company,manufacturer,American,1/1/02,,,
Cabinet,  1810,"mahogany with rosewood and wood veneers, and brass",2013.63,Gift of Joan M. Kaplan in memory of Irving M. J. Kaplan,12/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",58,40.25,22.5,0,,Wood,Person,"Bullock, George",,British,1783-01-01,1818-01-01,"London (Greater London, England, United Kingdom)",
Untitled (Red Butterfly Over Green),2003,oil on linen,2003.45.2,A. W. Mellon Acquisition Endowment Fund,10/4/03,Contemporary Art,"Gallery 17, Scaife Galleries",41,51,1.375,0,"Mark Grotjahn; (Anton Kern Gallery, New York, NY); Carnegie Museum of Art, Pittsburgh, PA",paintings,Person,"Grotjahn, Mark",,American,1/1/68,,"Pasadena, CA",
Alcoa Forecast Program Table,1957,painted aluminum,2004.9.1,"Gift of Torrence M. Hunt, Sr.",2/5/04,Decorative Arts and Design,The Charity Randall Gallery,18.5,14.75,16,0,"Torrence M. Hunt, Pittsburgh",Metals,Person|Organization,"Noguchi, Isamu|Aluminum Company of America",designer|manufacturer,American,1904-01-01|1888-01-01,1988-01-01|,"Los Angeles, CA|","New York, NY|"
Alcoa Forecast Program Table,1957,painted aluminum,2004.9.2,"Gift of Torrence M. Hunt, Sr.",2/5/04,Decorative Arts and Design,The Charity Randall Gallery,18.5,14.75,16,0,"Torrence M. Hunt, Pittsburgh",Metals,Person|Organization,"Noguchi, Isamu|Aluminum Company of America",designer|manufacturer,American,1904-01-01|1888-01-01,1988-01-01|,"Los Angeles, CA|","New York, NY|"
R.S.V.P. XI,1977/2004,"nylon mesh, rubber, and sand",2005.15,Nancy and Milton Washington Fund,4/7/05,Contemporary Art,"Gallery 13, Scaife Galleries",24,90,7.5,0,"(Thomas Erben Gallery), New York, NY, 2005; Museum purchase, 2005.",sculpture,Person,"Nengudi, Senga",,American,1/1/43,,Chicago,
Desk lamp model #114,1939,"Bakelite (TM), aluminum, plastic film",2004.23,Women's Committee Acquisition Fund,6/3/04,Decorative Arts and Design,"Gallery 21, Bruce Galleries",11,0,10,0,,lighting devices,Person|Organization,"Teague, Walter D.|Polaroid Corporation",designer|manufacturer,American,1883-01-01|1937-01-01,1960-01-01|,"Decatur, IN|Cambridge (Middlesex county, Massachusetts, United States)","Flemington, NJ|"
Shade Furnace,1879,oil on card mounted on Masonite,2004.31,"Gift of Agnes C. Way, by transfer from the Music and Art Department, Carnegie Library of Pittsburgh",6/3/04,Fine Arts,"Gallery 6, Scaife Galleries",13.375,9.5,0,0,"Agnes C. Way [1842-1943]; gift to Carnegie Library of Pittsburgh, Music and Art Department; transferred to Carnegie Museum of Art, 2004.",paintings,Person,"Newell, Hugh",,American,1830-01-01,1/1/15,"Belfast (Belfast, Northern Ireland, United Kingdom)","Bloomfield (Essex county, New Jersey, United States)"
Vase,  1935,tin-glazed earthenware,2004.28,Gift of East End Galleries,6/3/04,Decorative Arts and Design,Hall of Sculpture Balcony,14,27.875,0,0,"Object has a Christie's paper label with 650/6 over 52080.  The vase was sold on May 19th, 1980 from the George R. Hann estate, ""Treetops"", in Sewickley Heights, Pennsylvania.",Ceramics,Person,unknown Italian,,Italian,,,,
Fauxkoto,2003,porcelain with china paint glaze,2004.38,Edgar L. Levenson Fund,10/7/04,Decorative Arts and Design,Hall of Sculpture Balcony,6,9,3.125,0,"Rena Bransten Gallery, San Francisco",Ceramics,Person,"Nagle, Ron",,American,1/1/39,,"San Francisco, California",
Triassic Jurassic,1977,"acrylic, cotton and Rhoplex on canvas, in four parts",2004.19.A-D,Promised gift of Dr. and Mrs. Karl Salatka and partial purchase with funds from the A. W. Mellon Acquisition Endowment Fund,6/3/04,Contemporary Art,Museum of Art Lobby,240,96,1.5,0,"Holly Solomon Gallery, New York
Sotheby;s Contemporary Art, Part II; May 13, 2004, Lot 470",paintings,Person,"Zucker, Joe",,American,1/1/41,,,
"L.A. Boy, Knob Job Series",1985,glazed ceramic,2004.36.3,Decorative Arts Purchase Fund,10/7/04,Decorative Arts and Design,Hall of Sculpture Balcony,4,2.5,1.625,0,"Franklin Parrasch Gallery, New York",Ceramics,Person,"Nagle, Ron",,American,1/1/39,,"San Francisco, California",
Tureen,  1953,stoneware with slip decoration,2004.39.A-B,Second Century Acquisition Fund,10/7/04,Decorative Arts and Design,Hall of Sculpture Balcony,0,11.5,0,15,Per Garth Clark Gallery - it was offered to them (through a middleman consultant) by someone who lives in Montana and purchased it directly from Voulkos at the time it was made.,Ceramics,Person,"Voulkos, Peter",,American,1/1/24,1/1/02,"Bozeman, Montana","Bowling Green, Ohio"
An African,1833,oil on panel,2004.53,Heinz Family Fund,12/2/04,Fine Arts,"Gallery 3, Scaife Galleries",11.625,14.375,2.25,0,"Ferdinand Georg Waldmüller [1793-1865]. Herr von Hüfler, by 1865. Dr. August Heymann, Vienna, Austria. (Sold at Glückselig & Wärndorfer, Vienna, Austria, May 17, 1921, lot 679) [1]. Private collection, Paris, France. (Sold at Neumeister, Munich, Germany, December 1965, lot 1597). Private collection, Vienna, Austria. (Sold at Sotheby's, London, England, March 29, 2001). (Sold at French & Company, New York, NY, 2004); purchased by Carnegie Museum of Art, December 2004. 
NOTES: [1] This work is listed as ""Der Mohrenfürst"".",paintings,Person,"Waldmüller, Ferdinand Georg",,Austrian,1793-01-01,1865-01-01,"Vienna (Wien state, Austria)","Hinterbrühl (Niederösterreich, Austria)"
We Are Outside,2003,powder-coated steel,2004.34.1,A. W. Mellon Acquisition Endowment Fund,10/7/04,Contemporary Art,"Gallery 16, Scaife Galleries",27,74.75,16.25,0,"Galerie Eva Presnebuber, Zurich",sculpture,Person,"Boyce, Martin",,British,1/1/67,,"Glasgow (Glasgow, Scotland, United Kingdom)",
Bust of Pierre Alfred Chardon-Lagache,1872-1873,original plaster,2005.1,Heinz Family Fund,2/3/05,Fine Arts,"Gallery 4, Scaife Galleries",21,26,12,0,"Carpeaux Studio Sale (Atelier J. -B. Carpeaux ""Sculptures Originales""), Galerie Manzi, Joyant, Paris, 8-9 December 1913 (No. 58); A. Beurdeley Sale, Hotel Drouot, Paris, June 9, 1920; Collection Edmond Courty, Chatillon sous Bagneux, Seine (1947); Charles Janoray, LLC, New York, NY., purchased by Museum February 2005.

Edited by CGK, November 2013.",sculpture,Person,"Carpeaux, Jean-Baptiste",,French,1827-01-01,1875-01-01,"Valenciennes (Nord, Nord-Pas-de-Calais, France)","Courbevoie (Hauts-de-Seine department, Ile-de-France, France)"
You Can't Lay Down Your Memories,2004,"maple, recycled drawers, and jute strap",2005.17,Ailsa Mellon Bruce Fund,4/7/05,Decorative Arts and Design,"Gallery 21, Bruce Galleries",51,56,23,0,"Barry Friedman Ltd., New York",Wood,Person|Organization,"Remy, Tejo|Droog Design",designer|design collaborative,Dutch,1960-01-01|1993-01-01,|,|,|
"Yellow, Inclusion",2003,glass,2005.16,Decorative Arts Purchase Fund,4/7/05,Decorative Arts and Design,"Gallery 21, Bruce Galleries",10,20.75,6,0,"Morgan Contemporary Glass Gallery, Pittsburgh",Glass,Person,"Hillman, Henry L. Jr.",,American,1/1/51,,"Pittsburgh, Pennsylvania",
